scooter_id,timestamp,lat,lon,battery,ride_status
SCOOTER_034,2023-01-01T06:00:00,48.854234,2.37447,18.29,start
SCOOTER_028,2023-01-01T06:00:15,48.896762,2.379839,95.98,start
SCOOTER_026,2023-01-01T06:00:30,48.856251,2.373835,68.27,start
SCOOTER_046,2023-01-01T06:00:45,48.886965,2.361708,30.21,stop
SCOOTER_007,2023-01-01T06:01:00,48.874034,2.360746,95.39,idle
SCOOTER_043,2023-01-01T06:01:15,48.860044,2.342111,36.32,idle
SCOOTER_025,2023-01-01T06:01:30,48.894625,2.344812,58.93,stop
SCOOTER_019,2023-01-01T06:01:45,48.865,2.366075,44.14,start
SCOOTER_026,2023-01-01T06:02:00,48.857684,2.364592,13.44,stop
SCOOTER_034,2023-01-01T06:02:15,48.884668,2.361319,58.77,stop
SCOOTER_028,2023-01-01T06:02:30,48.872126,2.389981,27.25,stop
SCOOTER_011,2023-01-01T06:02:45,48.865868,2.363262,91.86,stop
SCOOTER_030,2023-01-01T06:03:00,48.864404,2.359758,15.92,idle
SCOOTER_004,2023-01-01T06:03:15,48.85386,2.356185,18.3,start
SCOOTER_005,2023-01-01T06:03:30,48.897449,2.35064,72.8,idle
SCOOTER_047,2023-01-01T06:03:45,48.853492,2.389495,54.55,idle
SCOOTER_030,2023-01-01T06:04:00,48.886629,2.370928,78.6,idle
SCOOTER_003,2023-01-01T06:04:15,48.882799,2.357465,45.9,idle
SCOOTER_014,2023-01-01T06:04:30,48.850032,2.374198,47.75,idle
SCOOTER_028,2023-01-01T06:04:45,48.857873,2.359131,41.82,idle
SCOOTER_030,2023-01-01T06:05:00,48.885102,2.371739,39.02,start
SCOOTER_018,2023-01-01T06:05:15,48.889311,2.389044,75.66,stop
SCOOTER_033,2023-01-01T06:05:30,48.894244,2.345855,30.13,idle
SCOOTER_020,2023-01-01T06:05:45,48.870844,2.349449,66.67,stop
SCOOTER_013,2023-01-01T06:06:00,48.86369,2.351607,34.56,start
SCOOTER_018,2023-01-01T06:06:15,48.854681,2.352536,24.54,stop
SCOOTER_019,2023-01-01T06:06:30,48.850092,2.382,51.92,stop
SCOOTER_018,2023-01-01T06:06:45,48.881041,2.342224,90.05,idle
SCOOTER_023,2023-01-01T06:07:00,48.859688,2.356547,48.94,start
SCOOTER_045,2023-01-01T06:07:15,48.879577,2.345496,41.52,stop
SCOOTER_039,2023-01-01T06:07:30,48.86678,2.386223,42.48,idle
SCOOTER_023,2023-01-01T06:07:45,48.895548,2.343669,62.86,start
SCOOTER_018,2023-01-01T06:08:00,48.894255,2.371092,97.49,idle
SCOOTER_040,2023-01-01T06:08:15,48.868939,2.365711,96.3,start
SCOOTER_004,2023-01-01T06:08:30,48.870317,2.350409,17.41,start
SCOOTER_031,2023-01-01T06:08:45,48.864724,2.35229,46.09,start
SCOOTER_016,2023-01-01T06:09:00,48.860978,2.366307,84.25,idle
SCOOTER_023,2023-01-01T06:09:15,48.874454,2.340864,41.46,idle
SCOOTER_009,2023-01-01T06:09:30,48.858413,2.372652,32.35,start
SCOOTER_018,2023-01-01T06:09:45,48.869437,2.348633,25.03,start
SCOOTER_032,2023-01-01T06:10:00,48.853064,2.358912,14.19,stop
SCOOTER_013,2023-01-01T06:10:15,48.892739,2.380288,82.94,idle
SCOOTER_020,2023-01-01T06:10:30,48.883426,2.358887,48.53,start
SCOOTER_024,2023-01-01T06:10:45,48.895311,2.389138,78.98,idle
SCOOTER_026,2023-01-01T06:11:00,48.875947,2.358283,61.84,idle
SCOOTER_030,2023-01-01T06:11:15,48.887272,2.387513,75.92,stop
SCOOTER_027,2023-01-01T06:11:30,48.892555,2.353326,18.48,idle
SCOOTER_006,2023-01-01T06:11:45,48.863599,2.366423,80.68,stop
SCOOTER_042,2023-01-01T06:12:00,48.858789,2.367073,45.85,idle
SCOOTER_045,2023-01-01T06:12:15,48.865139,2.387744,54.16,start
SCOOTER_018,2023-01-01T06:12:30,48.875822,2.355655,40.81,start
SCOOTER_036,2023-01-01T06:12:45,48.865951,2.385166,69.85,idle
SCOOTER_026,2023-01-01T06:13:00,48.899,2.341515,67.14,idle
SCOOTER_038,2023-01-01T06:13:15,48.892919,2.362643,13.31,stop
SCOOTER_006,2023-01-01T06:13:30,48.887565,2.37614,52.69,stop
SCOOTER_031,2023-01-01T06:13:45,48.850075,2.384777,80.0,stop
SCOOTER_007,2023-01-01T06:14:00,48.884773,2.370038,94.35,idle
SCOOTER_035,2023-01-01T06:14:15,48.890532,2.34694,12.32,start
SCOOTER_029,2023-01-01T06:14:30,48.87086,2.357705,72.42,stop
SCOOTER_029,2023-01-01T06:14:45,48.874583,2.373196,70.77,stop
SCOOTER_013,2023-01-01T06:15:00,48.89022,2.387796,24.19,idle
SCOOTER_025,2023-01-01T06:15:15,48.857904,2.352432,20.23,start
SCOOTER_013,2023-01-01T06:15:30,48.861036,2.360982,51.48,stop
SCOOTER_012,2023-01-01T06:15:45,48.885796,2.376048,58.8,idle
SCOOTER_018,2023-01-01T06:16:00,48.872595,2.353344,97.65,idle
SCOOTER_001,2023-01-01T06:16:15,48.853298,2.389332,44.33,stop
SCOOTER_034,2023-01-01T06:16:30,48.899759,2.346535,98.8,stop
SCOOTER_015,2023-01-01T06:16:45,48.851425,2.375284,11.81,idle
SCOOTER_003,2023-01-01T06:17:00,48.852573,2.389819,24.42,idle
SCOOTER_007,2023-01-01T06:17:15,48.871508,2.368454,49.66,idle
SCOOTER_024,2023-01-01T06:17:30,48.888478,2.366564,90.81,stop
SCOOTER_041,2023-01-01T06:17:45,48.85723,2.363019,68.75,stop
SCOOTER_046,2023-01-01T06:18:00,48.853523,2.362478,86.61,idle
SCOOTER_009,2023-01-01T06:18:15,48.853541,2.379895,14.26,stop
SCOOTER_002,2023-01-01T06:18:30,48.851873,2.350962,19.12,start
SCOOTER_041,2023-01-01T06:18:45,48.883917,2.351568,50.57,start
SCOOTER_046,2023-01-01T06:19:00,48.885274,2.34278,27.67,idle
SCOOTER_004,2023-01-01T06:19:15,48.892024,2.37783,39.68,idle
SCOOTER_028,2023-01-01T06:19:30,48.865345,2.352118,36.04,stop
SCOOTER_002,2023-01-01T06:19:45,48.889086,2.362487,60.39,stop
SCOOTER_036,2023-01-01T06:20:00,48.878295,2.385548,18.59,stop
SCOOTER_024,2023-01-01T06:20:15,48.870638,2.349528,32.03,start
SCOOTER_050,2023-01-01T06:20:30,48.877033,2.351447,56.25,start
SCOOTER_049,2023-01-01T06:20:45,48.877197,2.374244,51.08,start
SCOOTER_001,2023-01-01T06:21:00,48.86345,2.371632,57.45,idle
SCOOTER_038,2023-01-01T06:21:15,48.899576,2.358077,33.21,start
SCOOTER_034,2023-01-01T06:21:30,48.898047,2.386576,95.95,idle
SCOOTER_007,2023-01-01T06:21:45,48.85992,2.362825,39.15,idle
SCOOTER_018,2023-01-01T06:22:00,48.89152,2.351983,48.03,idle
SCOOTER_021,2023-01-01T06:22:15,48.868175,2.387233,24.32,start
SCOOTER_034,2023-01-01T06:22:30,48.857311,2.347164,32.43,start
SCOOTER_016,2023-01-01T06:22:45,48.862165,2.349434,66.49,start
SCOOTER_016,2023-01-01T06:23:00,48.864694,2.368322,17.61,start
SCOOTER_042,2023-01-01T06:23:15,48.87126,2.363017,55.13,start
SCOOTER_046,2023-01-01T06:23:30,48.883568,2.380693,67.45,start
SCOOTER_031,2023-01-01T06:23:45,48.850186,2.377757,50.34,idle
SCOOTER_020,2023-01-01T06:24:00,48.874474,2.347867,38.21,start
SCOOTER_019,2023-01-01T06:24:15,48.893789,2.34525,22.35,stop
SCOOTER_011,2023-01-01T06:24:30,48.860364,2.353779,64.74,stop
SCOOTER_003,2023-01-01T06:24:45,48.857658,2.357824,24.2,stop
SCOOTER_001,2023-01-01T06:25:00,48.875159,2.377216,20.31,start
SCOOTER_036,2023-01-01T06:25:15,48.87108,2.382289,83.12,idle
SCOOTER_028,2023-01-01T06:25:30,48.871851,2.343283,81.38,stop
SCOOTER_050,2023-01-01T06:25:45,48.869237,2.358228,31.38,stop
SCOOTER_043,2023-01-01T06:26:00,48.853639,2.341471,49.35,idle
SCOOTER_009,2023-01-01T06:26:15,48.89542,2.388515,46.13,idle
SCOOTER_032,2023-01-01T06:26:30,48.865724,2.340623,75.1,stop
SCOOTER_020,2023-01-01T06:26:45,48.896287,2.371612,91.37,idle
SCOOTER_027,2023-01-01T06:27:00,48.852811,2.359059,82.27,start
SCOOTER_013,2023-01-01T06:27:15,48.857038,2.389155,46.2,stop
SCOOTER_013,2023-01-01T06:27:30,48.865122,2.379772,22.85,start
SCOOTER_041,2023-01-01T06:27:45,48.890942,2.35864,19.8,start
SCOOTER_037,2023-01-01T06:28:00,48.866396,2.364257,23.36,start
